,f manual,f automatic,m manual,m automatic
LVIDs,0.0036671916768656588,0.0003915858001199232,7.27318921512938e-05,5.547465501698911e-05
LVIDd,0.06115065488164332,0.019412050237194937,0.00032999657962582237,0.049474146499318125
ejection fraction,0.0010523868378222935,0.0024841224195107626,2.7589061296162136e-05,3.513394817742644e-05
fractional shortening,0.0007668555252348495,0.0014154195066834723,2.7589061296162136e-05,3.513394817742644e-05
