mouse_id,file_name,high_image_quality,low_image_quality
30508578,Strbp_3v3_58,68.23710810347782,31.762891896522184
30508578,Strbp_3v3_56,78.82836587872558,21.17163412127442
30508578,Strbp_3v3_57,47.06184683912969,52.93815316087032
30508578,Strbp_3v3_59,89.41236936782595,10.587630632174063
30508823,Strbp_3v3_45,89.41236936782595,10.58763063217406
30508823,Strbp_3v3_43,20.60637204522097,79.39362795477902
30508823,Strbp_3v3_44,57.65673175745118,42.34326824254882
30508827,Strbp_3v3_34,52.36382322713258,47.63617677286743
30508827,Strbp_3v3_32,36.47421620695563,63.52578379304437
30508827,Strbp_3v3_31,20.59277025869451,79.40722974130549
