,f manual,f automatic,m manual,m automatic
LVIDs,0.9097809030290032,0.9774173567823232,0.09470726280080671,0.009997080982575382
LVIDd,0.6918297375514708,0.8429288944105098,0.28170746832724014,0.35023758481899414
ejection fraction,0.8429288944105098,0.9774173567823232,0.1654297590683368,0.0071632515034737426
fractional shortening,0.8429288944105098,0.8429288944105098,0.18337811248945035,0.011758294400597138
