mouse_id,file_name,high_image_quality,low_image_quality
30510911,Klotho_2v2_13,24.70447147507281,75.29552852492719
30510911,Klotho_2v2_17,28.22884549503255,71.77115450496746
30510911,Klotho_2v2_14,24.70023980815348,75.29976019184652
30510919,Klotho_2v2_45,85.88557725248374,14.11442274751627
30510919,Klotho_2v2_47,100.0,0.0
30510919,Klotho_2v2_48,100.0,0.0
30510922,Klotho_2v2_55,69.05944834675346,30.940551653246533
30510922,Klotho_2v2_53,42.54881808838642,57.45118191161358
30510922,Klotho_2v2_51,73.4840698869476,26.51593011305241
30510922,Klotho_2v2_52,69.06474820143885,30.935251798561147
30510925,Klotho_2v2_68,71.77115450496746,28.22884549503254
30510925,Klotho_2v2_64,21.175261264348133,78.82473873565186
