mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag
30503113,Tanc2_4v4_4.dcm,2.2848837209302326,3.9025,0.6976744186046512,3.9383333333333335,719.9999999999999,3.9025,0.7358362725127066,high,0.7358362725127066,high
30503113,Tanc2_4v4_4.dcm,2.459302325581396,3.985833333333334,0.872093023255814,4.024166666666667,712.8712871287129,3.985833333333334,0.7358362725127066,high,0.7358362725127066,high
30503113,Tanc2_4v4_4.dcm,2.546511627906977,4.07,0.9069767441860463,4.1033333333333335,757.8947368421052,4.07,0.7358362725127066,high,0.7358362725127066,high
30503113,Tanc2_4v4_4.dcm,2.459302325581396,4.149166666666667,0.8546511627906976,4.189166666666667,666.6666666666666,4.149166666666667,0.9903409205490996,high,0.9903409205490996,high
30503113,Tanc2_4v4_4.dcm,2.25,4.239166666666667,0.8023255813953488,4.273333333333333,692.3076923076923,4.239166666666667,0.9903409205490996,high,0.9903409205490996,high
30503113,Tanc2_4v4_4.dcm,2.5290697674418605,4.325833333333334,0.9069767441860463,4.359166666666667,774.1935483870968,4.325833333333334,0.9903409205490996,high,0.9903409205490996,high
30503113,Tanc2_4v4_4.dcm,2.476744186046512,4.403333333333333,0.6802325581395349,4.44,705.8823529411765,4.403333333333333,0.994894178022816,high,0.994894178022816,high
30503113,Tanc2_4v4_4.dcm,2.197674418604651,4.488333333333333,0.6976744186046512,4.5225,719.9999999999999,4.488333333333333,0.994894178022816,high,0.994894178022816,high
30503113,Tanc2_4v4_4.dcm,2.3720930232558137,4.571666666666667,0.994186046511628,4.606666666666667,757.8947368421052,4.571666666666667,0.994894178022816,high,0.994894178022816,high
30503113,Tanc2_4v4_4.dcm,2.6162790697674416,4.650833333333334,0.8372093023255813,4.690833333333334,692.3076923076923,4.650833333333334,0.9987302833764236,high,0.9987302833764236,high
30503113,Tanc2_4v4_4.dcm,2.354651162790698,4.737500000000001,0.7848837209302325,4.7725,692.3076923076923,4.737500000000001,0.9987302833764236,high,0.9987302833764236,high
30502712,Tanc2_4v4_58.dcm,2.563953488372093,1.5166666666666668,1.255813953488372,1.3725,685.7142857142857,1.5166666666666668,0.9390497025416332,high,0.9390497025416332,high
30502712,Tanc2_4v4_58.dcm,2.511627906976744,1.6041666666666667,0.9767441860465116,1.4608333333333334,765.9574468085106,1.6041666666666667,0.9970959248213278,high,0.9390497025416332,high
30502712,Tanc2_4v4_58.dcm,2.703488372093023,1.6825,1.2209302325581397,1.5475,699.0291262135921,1.6825,0.9970959248213278,high,0.9970959248213278,high
30502712,Tanc2_4v4_58.dcm,2.581395348837209,1.7683333333333335,1.1511627906976745,1.635,705.8823529411765,1.7683333333333335,0.9970959248213278,high,0.9970959248213278,high
30502712,Tanc2_4v4_58.dcm,2.5988372093023258,1.8533333333333333,1.1511627906976745,1.7191666666666667,712.8712871287129,1.8533333333333333,0.9790206307756948,high,0.9970959248213278,high
30502712,Tanc2_4v4_58.dcm,2.6511627906976742,1.9375,1.2209302325581397,1.8058333333333327,666.6666666666666,1.9375,0.9790206307756948,high,0.9790206307756948,high
30502712,Tanc2_4v4_58.dcm,2.7209302325581395,2.0275000000000003,1.0988372093023255,1.8908333333333327,654.5454545454545,2.0275000000000003,0.9790206307756948,high,0.9790206307756948,high
30502712,Tanc2_4v4_58.dcm,2.7906976744186047,2.119166666666666,1.1860465116279069,1.981666666666667,672.8971962616822,2.119166666666666,0.9973130168142624,high,0.9790206307756948,high
30502712,Tanc2_4v4_58.dcm,2.6686046511627906,2.208333333333333,1.2906976744186047,2.0675000000000003,757.8947368421052,2.208333333333333,0.9973130168142624,high,0.9973130168142624,high
30502712,Tanc2_4v4_58.dcm,2.703488372093023,2.2875,1.3604651162790695,2.1533333333333333,666.6666666666666,2.2875,0.9973130168142624,high,0.9973130168142624,high
30502712,Tanc2_4v4_58.dcm,2.5290697674418605,4.055000000000001,1.1511627906976745,3.9133333333333336,808.9887640449438,4.055000000000001,0.9946245639748128,high,0.9946245639748128,high
30502712,Tanc2_4v4_58.dcm,2.755813953488372,4.129166666666667,1.255813953488372,3.996666666666667,615.3846153846154,4.129166666666667,0.9418792231438452,high,0.9946245639748128,high
30502712,Tanc2_4v4_58.dcm,2.7732558139534884,4.226666666666667,1.1511627906976745,4.0875,727.2727272727273,4.226666666666667,0.9418792231438452,high,0.9946245639748128,high
30502712,Tanc2_4v4_58.dcm,2.6511627906976742,4.309166666666667,1.1162790697674418,4.171666666666667,642.8571428571428,4.309166666666667,0.9418792231438452,high,0.9418792231438452,high
30502712,Tanc2_4v4_58.dcm,2.5988372093023258,4.4025,1.255813953488372,4.260833333333333,791.2087912087911,4.4025,0.9993959197175484,high,0.9418792231438452,high
30502712,Tanc2_4v4_58.dcm,2.581395348837209,4.4783333333333335,1.1860465116279069,4.344166666666667,553.8461538461538,4.4783333333333335,0.9993959197175484,high,0.9418792231438452,high
30502712,Tanc2_4v4_58.dcm,2.511627906976744,4.586666666666667,1.2034883720930232,4.430000000000001,727.2727272727273,4.586666666666667,0.9993959197175484,high,0.9993959197175484,high
30502712,Tanc2_4v4_58.dcm,2.9127906976744184,4.669166666666667,1.4825581395348837,4.5183333333333335,782.6086956521739,4.669166666666667,0.5595965246980377,high,0.9993959197175484,high
