mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag
30504968,Ergic_1v1.dcm,1.6184592905432669,1.9408333333333327,1.5803778954716607,1.9391666666666667,637.1681415929203,1.9408333333333327,0.5327669450877567,high,0.5327669450877567,high
30504968,Ergic_1v1.dcm,2.30392440183218,2.035,2.037354636330936,2.0125,637.1681415929203,2.035,0.5327669450877567,high,0.5327669450877567,high
30504968,Ergic_1v1.dcm,2.227761611688968,2.129166666666667,1.523255802864251,2.0975,423.5294117647059,2.129166666666667,0.7974923088538943,high,0.7974923088538943,high
30504968,Ergic_1v1.dcm,2.5514534697976208,2.270833333333333,1.4280523151852356,2.236666666666667,808.9887640449438,2.270833333333333,0.8110648735404402,high,0.8110648735404402,high
30504968,Ergic_1v1.dcm,1.8088662659012984,2.345,1.199563944755598,2.3275,692.3076923076923,2.345,0.8110648735404402,high,0.8110648735404402,high
30504968,Ergic_1v1.dcm,1.961191846187724,2.5941666666666667,1.485174407792645,2.623333333333333,558.1395348837209,2.5941666666666667,0.5125642498770754,high,0.5125642498770754,high
30504968,Ergic_1v1.dcm,3.503488346587778,4.673333333333334,2.132558124009952,4.725833333333334,757.8947368421052,4.673333333333334,0.5804733336796226,high,0.5804733336796226,high
30504968,Ergic_1v1_3.dcm,2.7418604451556523,0.3891666666666667,1.961191846187724,0.37,808.9887640449438,0.3891666666666667,0.9712239596744952,high,0.9712239596744952,high
30504968,Ergic_1v1_3.dcm,2.9132267229778805,0.4633333333333334,1.9802325437235264,0.5108333333333334,719.9999999999999,0.4633333333333334,0.9712239596744952,high,0.9712239596744952,high
30504969,Ergic_1v1_5.dcm,3.370203463837156,0.685,1.4280523151852356,0.6625000000000001,765.9574468085106,0.685,0.7756938960581253,high,0.7756938960581253,high
30504969,Ergic_1v1_5.dcm,2.189680216617361,0.7633333333333334,2.132558124009952,0.7583333333333334,610.1694915254237,0.7633333333333334,0.7756938960581253,high,0.7756938960581253,high
30504969,Ergic_1v1_6.dcm,3.808139507160628,1.7933333333333334,2.3420057969037864,1.7391666666666667,679.2452830188679,1.7933333333333334,0.9678919457983176,high,0.9678919457983176,high
30504969,Ergic_1v1_6.dcm,2.9322674205136834,1.8816666666666668,1.865988358508708,1.8483333333333327,791.2087912087911,1.8816666666666668,0.9678919457983176,high,0.9678919457983176,high
30504969,Ergic_1v1_6.dcm,3.0274709081927,2.411666666666666,1.7898255683654951,2.4650000000000003,480.0,2.411666666666666,0.9245697870476268,high,0.9245697870476268,high
30504969,Ergic_1v1_6.dcm,3.294040673693943,2.536666666666666,1.4280523151852356,2.5658333333333334,765.9574468085106,2.536666666666666,0.9245697870476268,high,0.9245697870476268,high
30504969,Ergic_1v1_6.dcm,3.255959278622337,2.931666666666666,1.7136627782222826,3.0341666666666667,455.6962025316455,2.931666666666666,0.9476911021652056,high,0.563097059213115,high
30504969,Ergic_1v1_6.dcm,2.989389513121093,3.063333333333333,0.2665697655012439,3.1325000000000003,558.1395348837209,3.063333333333333,0.563097059213115,high,0.563097059213115,high
30504969,Ergic_1v1_6.dcm,3.0274709081927,3.1708333333333334,2.170639519081558,3.2233333333333336,595.0413223140495,3.1708333333333334,0.563097059213115,high,0.563097059213115,high
30504969,Ergic_1v1_8.dcm,3.453488372093023,3.9508333333333336,1.622093023255814,3.991666666666667,610.1694915254237,3.9508333333333336,0.6610908689318259,high,0.6610908689318259,high
30504969,Ergic_1v1_8.dcm,3.1569767441860463,4.049166666666667,2.860465116279069,4.0875,837.2093023255813,4.049166666666667,0.6610908689318259,high,0.8191441259576672,high
30504969,Ergic_1v1_8.dcm,3.244186046511628,4.120833333333334,2.197674418604651,4.179166666666667,558.1395348837209,4.120833333333334,0.8191441259576672,high,0.8191441259576672,high
30504969,Ergic_1v1_8.dcm,3.5755813953488373,4.5600000000000005,2.3372093023255816,4.778333333333333,742.2680412371134,4.5600000000000005,0.8673656161616881,high,0.9766673621220848,high
30504969,Ergic_1v1_8.dcm,3.3662790697674416,4.640833333333334,1.7267441860465116,4.86,791.2087912087911,4.640833333333334,0.8673656161616881,high,0.9766673621220848,high
30504969,Ergic_1v1_9.dcm,2.738372093023256,1.5708333333333335,1.9360465116279069,1.5991666666666668,626.0869565217391,1.5708333333333335,0.5860354553873123,high,0.5860354553873123,high
30504969,Ergic_1v1_9.dcm,2.5988372093023258,1.6666666666666667,1.3604651162790695,1.7191666666666667,808.9887640449438,1.6666666666666667,0.5860354553873123,high,0.5860354553873123,high
30504969,Ergic_1v1_9.dcm,3.1569767441860463,2.1675,1.3255813953488371,2.2925,727.2727272727273,2.1675,0.8576809691765639,high,0.8576809691765639,high
30504969,Ergic_1v1_9.dcm,2.581395348837209,2.25,2.005813953488372,2.4033333333333333,705.8823529411765,2.25,0.8576809691765639,high,0.8725746655679434,high
30504969,Ergic_1v1_9.dcm,2.8255813953488373,2.335,1.8837209302325584,2.474166666666666,590.1639344262295,2.335,0.8576809691765639,high,0.8725746655679434,high
30504969,Ergic_1v1_9.dcm,3.3488372093023253,2.436666666666667,0.4709302325581395,2.569166666666667,416.1849710982659,2.436666666666667,0.8725746655679434,high,0.8725746655679434,high
30504969,Ergic_1v1_9.dcm,3.209302325581396,2.841666666666667,1.813953488372093,2.9850000000000003,672.8971962616822,2.841666666666667,0.7840373072349002,high,0.7840373072349002,high
