,f manual,f automatic,m manual,m automatic
LVIDs,0.6806888924088625,0.5700288286611933,0.034501198224460725,0.24520008673249938
LVIDd,0.4685610363278365,0.9531436224022091,0.22021067555118745,0.8491839838712325
ejection fraction,0.8294151613648015,0.14183579991084183,0.026518721959430728,0.3635925552629117
fractional shortening,0.7097857460625617,0.13151308625853653,0.021276291973116663,0.3863349256489307
