mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag,LV_Vold_auto,LV_Vols_auto,EF_auto,FS_auto,strain,sex,genotype,type,bw,EF_manual,FS_manual,LVIDd_manual,LVIDs_manual,dif_LVIDd,mean_LVIDd,dif_LVIDs,mean_LVIDs,dif_EF,dif_FS
30513749,30523749_1.dcm,3.0340116279069766,2.504166666666667,0.8462209302325582,2.4466666666666668,590.1639344262295,2.504166666666667,0.6076772773243645,high,0.6076772773243645,high,35.97735233087223,1.306686051180713,96.3680316462325,72.10884353741496,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.21598837209302335,3.1420058139534883,-0.34377906976744177,1.0181104651162791,5.288031646232497,10.968843537414955
30513749,30523749_1.dcm,3.1578488372093023,2.605833333333333,1.0319767441860466,2.544166666666667,533.3333333333334,2.605833333333333,0.9999907833156604,high,0.6076772773243645,high,39.661151606198025,2.2416274448110878,94.34805255513363,67.3202614379085,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.09215116279069768,3.203924418604651,-0.15802325581395338,1.1109883720930234,3.268052555133636,6.180261437908499
30513749,30523749_1.dcm,2.724418604651163,2.7183333333333337,1.0319767441860466,2.6475,545.4545454545455,2.7183333333333337,0.9999907833156604,high,0.9999907833156604,high,27.623261375990776,2.2416274448110878,91.88500078140868,62.121212121212125,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.5255813953488371,2.9872093023255815,-0.15802325581395338,1.1109883720930234,0.8050007814086797,0.9812121212121241
30513749,30523749_1.dcm,3.219767441860465,2.8283333333333336,0.8255813953488372,2.754166666666667,558.1395348837209,2.8283333333333336,0.8786215586197037,high,0.8786215586197037,high,41.577005757302,1.22115200523442,97.0629149863204,74.35897435897435,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.03023255813953485,3.234883720930233,-0.3644186046511627,1.0077906976744186,5.982914986320395,13.21897435897435
30513749,30523749_1.dcm,2.9308139534883724,2.935833333333333,1.5892441860465116,2.875833333333333,517.9856115107913,2.935833333333333,0.9991817202883276,high,0.8786215586197037,high,33.0574436102164,7.043350700636576,78.69360140582732,45.77464788732395,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.31918604651162763,3.090406976744186,0.3992441860465117,1.389622093023256,-12.386398594172675,-15.36535211267605
30513749,30523749_1.dcm,2.8895348837209305,3.0516666666666667,1.155813953488372,2.974166666666667,553.8461538461538,3.0516666666666667,0.9991817202883276,high,0.9991817202883276,high,31.92746076732405,3.039644610188244,90.47952910398956,60.00000000000001,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.3604651162790695,3.0697674418604652,-0.03418604651162793,1.172906976744186,-0.6004708960104352,-1.1399999999999935
30513749,30523749_1.dcm,3.178488372093024,3.16,1.3002906976744186,3.095,514.2857142857142,3.16,0.9308846958509446,high,0.9308846958509446,high,40.29427896397532,4.158948694841548,89.67856280897888,59.09090909090911,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.07151162790697585,3.2142441860465123,0.11029069767441868,1.2451453488372093,-1.4014371910211167,-2.049090909090893
30513749,30523749_1.dcm,2.868895348837209,3.276666666666667,1.3002906976744186,3.2,529.4117647058823,3.276666666666667,0.989311270890784,high,0.9308846958509446,high,31.370582763110534,4.158948694841548,86.74252013025348,54.67625899280575,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.3811046511627909,3.0594476744186045,0.11029069767441868,1.2451453488372093,-4.337479869746517,-6.463741007194251
30513749,30523749_1.dcm,3.0959302325581395,3.39,1.0938953488372094,3.314166666666667,610.1694915254237,3.39,0.989311270890784,high,0.989311270890784,high,37.79464971770189,2.622499865884392,93.06118753455178,64.66666666666667,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.15406976744186052,3.1729651162790695,-0.09610465116279054,1.1419476744186046,1.981187534551779,3.526666666666671
30513749,30523749_1.dcm,3.281686046511628,3.4883333333333337,1.3828488372093024,3.4250000000000003,549.618320610687,3.4883333333333337,0.9288839176390044,high,0.989311270890784,high,43.54235349080284,4.893315063237663,88.76194171665239,57.86163522012578,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,0.031686046511627985,3.265843023255814,0.19284883720930246,1.2864244186046512,-2.318058283347611,-3.2783647798742237
30513749,30523749_1.dcm,2.827616279069768,3.5975,1.2796511627906977,3.526666666666667,549.618320610687,3.5975,0.9288839176390044,high,0.9288839176390044,high,30.273020725297915,3.986265107526533,86.83228494540232,54.744525547445264,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.4223837209302319,3.038808139534884,0.08965116279069774,1.2348255813953488,-4.247715054597677,-6.395474452554737
30513749,30523749_1.dcm,3.4055232558139537,3.706666666666667,1.0319767441860466,3.6341666666666654,610.1694915254237,3.706666666666667,0.9388412700026904,high,0.9388412700026904,high,47.62206483932614,2.2416274448110878,95.29288061663392,69.6969696969697,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,0.15552325581395365,3.327761627906977,-0.15802325581395338,1.1109883720930234,4.2128806166339245,8.556969696969702
30513749,30523749_1.dcm,2.9308139534883724,3.805,1.2383720930232558,3.749166666666667,576.0,3.805,0.9988873380381734,high,0.9388412700026904,high,33.0574436102164,3.653796855546803,88.94712822131957,57.74647887323944,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.31918604651162763,3.090406976744186,0.04837209302325585,1.2141860465116279,-2.1328717786804248,-3.393521126760561
30513749,30523749_1.dcm,2.9927325581395348,3.909166666666667,0.8255813953488372,3.8483333333333336,615.3846153846154,3.909166666666667,0.9988873380381734,high,0.9988873380381734,high,34.79308053356588,1.22115200523442,96.49024465063869,72.41379310344827,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.25726744186046524,3.1213662790697674,-0.3644186046511627,1.0077906976744186,5.410244650638688,11.27379310344827
30513749,30523749_1.dcm,3.343604651162791,4.006666666666667,1.0526162790697675,3.95,637.1681415929203,4.006666666666667,0.9995449472634133,high,0.9995449472634133,high,45.557330032529634,2.364612455317936,94.80958946973074,68.51851851851852,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,0.09360465116279082,3.296802325581395,-0.13738372093023243,1.1213081395348836,3.7295894697307403,7.3785185185185185
30513749,30523749_1.dcm,2.683139534883721,4.100833333333334,1.0938953488372094,4.0475,654.5454545454545,4.100833333333334,0.9995449472634133,high,0.9995449472634133,high,26.600866516631378,2.622499865884392,90.14129910300196,59.23076923076923,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.566860465116279,2.9665697674418605,-0.09610465116279054,1.1419476744186046,-0.9387008969980428,-1.909230769230767
30513749,30523749_1.dcm,3.199127906976744,4.1925,0.9906976744186048,4.136666666666667,637.1681415929203,4.1925,0.9993015870241352,high,0.9993015870241352,high,40.932895270130416,2.007392985197204,95.09589299278802,69.03225806451611,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.05087209302325579,3.224563953488372,-0.19930232558139516,1.0903488372093024,4.015892992788025,7.892258064516113
30513749,30523749_1.dcm,3.0752906976744185,4.286666666666667,0.9700581395348836,4.234166666666667,553.8461538461538,4.286666666666667,0.9993015870241352,high,0.9993015870241352,high,37.183424244618735,1.896068132223341,94.90077051605124,68.45637583892618,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.17470930232558146,3.1626453488372093,-0.21994186046511632,1.0800290697674417,3.8207705160512404,7.316375838926177
30513749,30523749_1.dcm,2.8069767441860467,4.3950000000000005,0.9287790697674418,4.329166666666667,605.0420168067227,4.3950000000000005,0.9998512621683504,high,0.9998512621683504,high,29.73232323351879,1.6848076573397557,94.33341402853986,66.91176470588236,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.4430232558139533,3.0284883720930234,-0.2612209302325581,1.0593895348837208,3.253414028539865,5.771764705882362
30513749,30523749_1.dcm,3.240406976744186,4.494166666666667,1.155813953488372,4.4325,615.3846153846154,4.494166666666667,0.9999705981453064,high,0.9998512621683504,high,42.22661558153893,3.039644610188244,92.8015907305696,64.33121019108282,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.009593023255813904,3.245203488372093,-0.03418604651162793,1.172906976744186,1.721590730569602,3.191210191082817
30513749,30523749_1.dcm,2.8482558139534886,4.591666666666667,1.0526162790697675,4.534166666666667,600.0,4.591666666666667,0.9999705981453064,high,0.9999705981453064,high,30.819104974489733,2.364612455317936,92.32744605245604,63.04347826086957,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.4017441860465114,3.0491279069767443,-0.13738372093023243,1.1213081395348836,1.2474460524560413,1.9034782608695693
30513749,30523749_1.dcm,2.9927325581395348,4.691666666666667,0.7636627906976744,4.6325,580.6451612903226,4.691666666666667,0.9997563926134484,high,0.9999705981453064,high,34.79308053356588,0.9854004222964704,97.1678264551889,74.48275862068965,C57BL/6N,f,control,wt (Cnot6l),23.5,91.08,61.14,3.25,1.19,-0.25726744186046524,3.1213662790697674,-0.42633720930232555,0.9768313953488372,6.087826455188903,13.34275862068965
