,f manual,f automatic,m manual,m automatic
LVIDs,0.4959675729800952,0.053902557169387175,0.4747017688194159,0.0030851501439736733
LVIDd,0.9698272930212717,0.7913367801006604,0.6952036751251824,0.8867749897161661
ejection fraction,0.6230455308379078,0.08897301170181328,0.4747017688194159,0.0030851501439736733
fractional shortening,0.5707503880581739,0.10410988966022681,0.4747017688194159,0.006787330316742082
