,f manual,f automatic,m manual,m automatic
LVIDs,0.5704604728984778,0.7337299956962472,0.2786324786324786,0.4418026418026417
LVIDd,0.472509068324386,0.27303633975118835,0.023638836252397915,0.2786324786324786
ejection fraction,1.0,0.6231762238821174,0.7984459984459983,0.7984459984459983
fractional shortening,1.0,0.6775849579524755,0.7984459984459983,0.7984459984459983
