,f manual,f automatic,m manual,m automatic
LVIDs,0.7984459984459983,0.3822843822843822,0.24764784610289658,0.08298368298368297
LVIDd,0.5737373737373737,0.8784770784770783,0.24764784610289658,0.10489510489510488
ejection fraction,0.7984459984459983,0.19487179487179485,0.2786324786324786,0.19487179487179485
fractional shortening,0.8784770784770783,0.1605283605283605,0.2786324786324786,0.23449883449883446
