mouse_id,file,LVIDd_auto,LVIDd_auto_time,LVIDs_auto,LVIDs_auto_time,heart_rate_auto,heart_rate_auto_time,LVIDd_auto_quality_label,LVIDd_auto_quality_flag,LVIDs_auto_quality_label,LVIDs_auto_quality_flag,LV_Vold_auto,LV_Vols_auto,EF_auto,FS_auto
30514245,Acnat2_1vX.dcm,2.724418604651163,0.0575,0.8462209302325582,0.015,750.0,0.0575,0.9997217744108936,high,0.9997217744108936,high,27.623261375990776,1.306686051180713,95.26961703256212,68.93939393939394
30514245,Acnat2_1vX.dcm,2.641860465116279,0.1375,0.9906976744186048,0.1,692.3076923076923,0.1375,0.9997217744108936,high,0.9997217744108936,high,25.599816076906038,2.007392985197204,92.15856481481481,62.499999999999986
30514245,Acnat2_1vX.dcm,2.621220930232558,0.2241666666666666,0.8462209302325582,0.1783333333333333,765.9574468085106,0.2241666666666666,0.9999452298259948,high,0.9997217744108936,high,25.10727566151031,1.306686051180713,94.79558806460282,67.71653543307086
30514245,Acnat2_1vX.dcm,2.683139534883721,0.3025,1.1145348837209303,0.2616666666666666,719.9999999999999,0.3025,0.9999452298259948,high,0.9999452298259948,high,26.600866516631378,2.7574724344659516,89.63389996058238,58.46153846153845
30514245,Acnat2_1vX.dcm,2.6005813953488373,0.3858333333333333,0.9700581395348836,0.3441666666666667,692.3076923076923,0.3858333333333333,0.9999452298259948,high,0.9999452298259948,high,24.620047871939565,1.896068132223341,92.29868218743651,62.69841269841271
30514245,Acnat2_1vX.dcm,2.6625,0.4725,0.8049418604651163,0.425,765.9574468085106,0.4725,0.9991504660718324,high,0.9999452298259948,high,26.097677083333338,1.1391251067179171,95.6351475149281,69.76744186046511
30514245,Acnat2_1vX.dcm,2.724418604651163,0.5508333333333334,0.9700581395348836,0.5083333333333334,742.2680412371134,0.5508333333333334,0.9991504660718324,high,0.9991504660718324,high,27.623261375990776,1.896068132223341,93.13597295259515,64.3939393939394
30514245,Acnat2_1vX.dcm,2.6005813953488373,0.6316666666666667,0.8462209302325582,0.5916666666666667,705.8823529411765,0.6316666666666667,0.9991504660718324,high,0.9991504660718324,high,24.620047871939565,1.306686051180713,94.6925933776514,67.46031746031746
30514245,Acnat2_1vX.dcm,2.6625,0.7166666666666667,0.7843023255813953,0.6725000000000001,757.8947368421052,0.7166666666666667,0.9999776896257004,high,0.9999776896257004,high,26.097677083333338,1.0605575848651911,95.9361992966704,70.54263565891472
30514245,Acnat2_1vX.dcm,2.703779069767442,0.7958333333333334,1.0938953488372094,0.7525000000000001,734.6938775510205,0.7958333333333334,0.9999776896257004,high,0.9999776896257004,high,27.109392085887688,2.622499865884392,90.32623137554758,59.541984732824424
30514245,Acnat2_1vX.dcm,2.641860465116279,0.8775000000000001,0.9494186046511628,0.8366666666666667,679.2452830188679,0.8775000000000001,0.9999946939338386,high,0.9999776896257004,high,25.599816076906038,1.7885530457335646,93.01341447000846,64.0625
30514245,Acnat2_1vX.dcm,2.745058139534884,0.9658333333333334,0.6811046511627907,0.9183333333333334,774.1935483870968,0.9658333333333334,0.9999946939338386,high,0.9999946939338386,high,28.142481850121218,0.717849047575192,97.44923332846672,75.18796992481202
30514245,Acnat2_1vX.dcm,2.8069767441860467,1.0433333333333334,1.0526162790697675,1.0075,719.9999999999999,1.0433333333333334,0.9999946939338386,high,0.9999946939338386,high,29.73232323351879,2.364612455317936,92.04699734781511,62.5
30514245,Acnat2_1vX.dcm,2.6005813953488373,1.1266666666666667,1.0113372093023256,1.0841666666666667,719.9999999999999,1.1266666666666667,0.9934351379729868,high,0.9934351379729868,high,24.620047871939565,2.1225667033438893,91.37870602695675,61.11111111111111
30514245,Acnat2_1vX.dcm,2.724418604651163,1.2100000000000002,0.8049418604651163,1.1658333333333335,734.6938775510205,1.2100000000000002,0.9934351379729868,high,0.9934351379729868,high,27.623261375990776,1.1391251067179171,95.87621066458138,70.45454545454545
30514245,Acnat2_1vX.dcm,2.827616279069768,1.2916666666666667,1.155813953488372,1.2491666666666668,750.0,1.2916666666666667,0.9999399463172632,high,0.9934351379729868,high,30.273020725297915,3.039644610188244,89.95922924979818,59.124087591240894
30514245,Acnat2_1vX.dcm,2.641860465116279,1.3716666666666668,0.9906976744186048,1.3358333333333334,672.8971962616822,1.3716666666666668,0.9999399463172632,high,0.9999399463172632,high,25.599816076906038,2.007392985197204,92.15856481481481,62.499999999999986
30514245,Acnat2_1vX.dcm,2.5799418604651163,1.4608333333333334,0.9700581395348836,1.413333333333333,712.8712871287129,1.4608333333333334,0.9999399463172632,high,0.9999399463172632,high,24.138124610938956,1.896068132223341,92.14492358961442,62.40000000000001
30514245,Acnat2_1vX.dcm,2.8069767441860467,1.5450000000000002,0.9494186046511628,1.4941666666666669,808.9887640449438,1.5450000000000002,0.9998023131163788,high,0.9999399463172632,high,29.73232323351879,1.7885530457335646,93.9844827069644,66.17647058823529
30514245,Acnat2_1vX.dcm,2.8069767441860467,1.6191666666666669,0.9700581395348836,1.58,791.2087912087911,1.6191666666666669,0.9998023131163788,high,0.9998023131163788,high,29.73232323351879,1.896068132223341,93.62287259784057,65.44117647058825
30514245,Acnat2_1vX.dcm,2.745058139534884,1.695,0.9906976744186048,1.66,631.578947368421,1.695,0.9998023131163788,high,0.9998023131163788,high,28.142481850121218,2.007392985197204,92.86703640464972,63.90977443609022
30514245,Acnat2_1vX.dcm,2.724418604651163,1.79,0.8462209302325582,1.7475,782.6086956521739,1.79,0.99962411075738,high,0.99962411075738,high,27.623261375990776,1.306686051180713,95.26961703256212,68.93939393939394
