,f manual,f automatic,m manual,m automatic
LVIDs,0.9118322661492922,0.33506623753303066,0.013362838277613644,0.0019564882615330822
LVIDd,0.5064558951812055,0.7861817311532681,0.0007567131509400444,0.0041569261944842655
ejection fraction,0.8141495989693333,0.5744407509113391,0.05343568512448969,0.007199919102032561
fractional shortening,0.8141495989693333,0.26624644309653794,0.10682391539553095,0.009324614330176065
