mouse_id,file_name,high_image_quality,low_image_quality
30503826,Dmd_1vX_37,0.0,100.0
30503826,Dmd_1vX_39,68.24254881808837,31.757451181911627
30503826,Dmd_1vX_38,0.0,100.0
30503826,Dmd_1vX_36,42.35052252869627,57.64947747130373
30503827,Dmd_1vX_33,10.020554984583756,89.97944501541623
30503827,Dmd_1vX_31,0.0,100.0
30503827,Dmd_1vX_30,31.19218910585816,68.80781089414185
30503828,Dmd_1vX_27,47.06184683912969,52.93815316087031
30503828,Dmd_1vX_23,0.0,100.0
30503828,Dmd_1vX_26,0.0,100.0
30503828,Dmd_1vX_25,0.0,100.0
30503829,Dmd_1vX_22,10.585817060637206,89.41418293936279
30503829,Dmd_1vX_19,41.76803152304266,58.23196847695734
30503829,Dmd_1vX_17,42.34326824254882,57.656731757451176
30503829,Dmd_1vX_20,20.59277025869454,79.40722974130546
30503830,Dmd_1vX_15,62.9496402877698,37.05035971223021
30503830,Dmd_1vX_14,31.192189105858176,68.80781089414182
30503830,Dmd_1vX_11,100.0,0.0
30503831,Dmd_1vX_10,52.36382322713259,47.636176772867415
30503831,Dmd_1vX_9,15.878725590955806,84.1212744090442
30503831,Dmd_1vX_8,47.06184683912969,52.93815316087032
30503831,Dmd_1vX_6,10.020554984583756,89.97944501541623
30503833,Dmd_1vX_1,10.005139626520467,89.99486037347954
30503833,Dmd_1vX_2,47.07091469681398,52.92908530318602
30508709,Dmd_2v2_3,73.53092341956484,26.469076580435164
30508709,Dmd_2v2_5,57.64947747130376,42.35052252869625
30508709,Dmd_2v2_2,15.313463514902365,84.68653648509763
30508710,Dmd_2v2_9,10.005139626520457,89.99486037347954
30508710,Dmd_2v2_8,52.36382322713259,47.636176772867415
30508710,Dmd_2v2_6,47.07091469681399,52.92908530318602
30508710,Dmd_2v2_12,78.82836587872559,21.17163412127441
30508711,Dmd_2v2_17,84.1185540517389,15.881445948261092
30508711,Dmd_2v2_15,4.72764645426515,95.27235354573486
30508711,Dmd_2v2_16,41.76803152304266,58.23196847695734
30508711,Dmd_2v2_18,47.07091469681398,52.92908530318602
30508714,Dmd_2v2_23,47.64433784478327,52.35566215521672
30508714,Dmd_2v2_22,0.0,100.0
30508714,Dmd_2v2_19,0.0,100.0
30508714,Dmd_2v2_21,0.0,100.0
30508721,Dmd_2v2_27,25.886585574781567,74.11341442521844
30508721,Dmd_2v2_29,31.180400890868597,68.8195991091314
30508721,Dmd_2v2_30,89.41236936782593,10.587630632174063
30508721,Dmd_2v2_28,36.485097636176775,63.514902363823225
30508989,Dmd_2v2_34,52.93815316087032,47.06184683912969
30508989,Dmd_2v2_32,47.07091469681399,52.92908530318602
30508991,Dmd_2v2_40,100.0,0.0
30508991,Dmd_2v2_36,47.07091469681398,52.92908530318602
30508991,Dmd_2v2_38,100.0,0.0
30508993,Dmd_2v2_44,57.65673175745118,42.34326824254882
30508993,Dmd_2v2_45,100.0,0.0
30508993,Dmd_2v2_43,25.886585574781567,74.11341442521844
30508993,Dmd_2v2_46,100.0,0.0
30508994,Dmd_2v2_53,31.7628918965222,68.2371081034778
30508994,Dmd_2v2_51,21.171634121274405,78.82836587872559
30508994,Dmd_2v2_50,25.899280575539564,74.10071942446044
30508994,Dmd_2v2_52,52.92908530318602,47.07091469681399
30508995,Dmd_2v2_57,100.0,0.0
30508995,Dmd_2v2_55,57.656731757451176,42.34326824254882
30509011,Dmd_2v2_63,94.70618468391297,5.293815316087032
30509011,Dmd_2v2_61,63.52578379304439,36.47421620695561
30509014,Dmd_2v2_66,15.881445948261096,84.1185540517389
30509014,Dmd_2v2_67,15.878725590955812,84.1212744090442
