,f manual,f automatic,m manual,m automatic
LVIDs,0.15430562978853887,0.08673086482754268,0.28435642941462436,0.24135706914344687
LVIDd,0.01760904290516905,0.019008923318541638,0.5001044140815247,0.4854231166150671
ejection fraction,0.2356799134290376,0.1472322553636655,0.3506965944272446,0.3506965944272446
fractional shortening,0.27994412527837886,0.2356799134290376,0.3928792569659443,0.27492260061919505
