mouse_id,file_name,high_image_quality,low_image_quality
30512123,Fabp2_1vX_3,54.12026726057907,45.87973273942093
30512123,Fabp2_1vX_2,10.587630632174069,89.41236936782593
30512123,Fabp2_1vX,35.29210210724688,64.70789789275312
30512123,Fabp2_1vX_4,32.95649194929772,67.04350805070227
30512128,30512128_6,86.73976357718006,13.260236422819936
30512128,Fabp2_1vX_10,16.0185026554737,83.98149734452629
30512128,30512128_4,16.0185026554737,83.98149734452629
30512128,Fabp2_1vX_8,22.09660842754369,77.9033915724563
30512128,30512128_2,22.09660842754369,77.9033915724563
30512128,30512128_1,16.018502655473704,83.98149734452629
30512128,Fabp2_1vX_7,16.018502655473704,83.98149734452629
30512128,Fabp2_1vX_12,86.73976357718006,13.260236422819936
30512128,Fabp2_1vX_11,33.69881788590028,66.30118211409972
30512130,Fabp2_1vX_15,36.485097636176775,63.514902363823225
30512130,Fabp2_1vX_17,57.64947747130376,42.35052252869625
30512130,Fabp2_1vX_16,71.77115450496744,28.228845495032555
30512130,Fabp2_1vX_18,64.70789789275312,35.29210210724686
30512131,Fabp2_1vX_22,75.2955285249272,24.7044714750728
30512131,Fabp2_1vX_24,71.76631831420251,28.233681685797496
30512131,Fabp2_1vX_23,7.058420421449372,92.94157957855062
30512131,Fabp2_1vX_19,43.532636628405,56.46736337159499
30512133,Fabp2_1vX_28,73.4840698869476,26.51593011305241
30512133,Fabp2_1vX_29,16.032887975334024,83.96711202466598
30512133,Fabp2_1vX_25,0.0,100.0
30512133,Fabp2_1vX_27,4.419321685508738,95.58067831449128
30512135,Fabp2_1vX_35,55.79921192393352,44.20078807606648
30512135,Fabp2_1vX_34,77.90339157245631,22.096608427543675
30512135,Fabp2_1vX_31,82.31968476957341,17.680315230426586
30512135,Fabp2_1vX_33,29.29085303186022,70.70914696813978
30512137,Fabp2_1vX_40,43.54230900993492,56.45769099006509
30512137,30512137_5,96.47139431312092,3.5286056868790814
30512137,30512137_3,43.54230900993492,56.45769099006509
30512137,Fabp2_1vX_42,96.47139431312092,3.5286056868790814
30512137,Fabp2_1vX_41,61.18533744433026,38.81466255566975
30512137,Fabp2_1vX_39,40.01370332305584,59.98629667694416
30512137,30512137_2,47.07091469681396,52.92908530318604
30512138,Fabp2_1vX_46,36.485097636176775,63.514902363823225
30512138,Fabp2_1vX_45,64.71394313120929,35.2860568687907
30512138,Fabp2_1vX_44,36.485097636176775,63.51490236382323
30512138,Fabp2_1vX_47,68.23710810347781,31.762891896522195
30512139,Fabp2_1vX_52,25.899280575539564,74.10071942446044
30512139,Fabp2_1vX_50,14.114422747516276,85.88557725248374
30512139,30512139_2,43.5423090099349,56.4576909900651
30512139,30512139_3,25.899280575539564,74.10071942446044
30512139,Fabp2_1vX_54,71.7663183142025,28.233681685797503
30512139,Fabp2_1vX_51,43.5423090099349,56.4576909900651
30512140,Fabp2_1vX_57,22.370674888660503,77.62932511133948
30512140,Fabp2_1vX_60,57.64947747130376,42.35052252869624
30512140,Fabp2_1vX_59,36.48509763617677,63.514902363823246
30512140,Fabp2_1vX_58,28.233681685797507,71.7663183142025
30516965,Fabp2_2v2_1,0.0,100.0
30516965,Fabp2_2v2_3,69.05944834675347,30.94055165324653
30516965,Fabp2_2v2_4,38.12949640287769,61.87050359712231
30516965,Fabp2_2v2_2,22.10039403803323,77.89960596196677
30516968,Fabp2_2v2_8,100.0,0.0
30516968,Fabp2_2v2_9,55.79921192393352,44.20078807606648
30516968,Fabp2_2v2_10,95.57992119239336,4.420078807606644
30516968,Fabp2_2v2_6,77.90339157245631,22.09660842754368
30516970,Fabp2_2v2_15,85.88557725248374,14.114422747516276
30516970,Fabp2_2v2_12,68.24254881808838,31.757451181911623
30516970,Fabp2_2v2_14,42.350522528696274,57.649477471303726
30517166,Fabp2_2v2_20,33.71017471736897,66.28982528263103
30517166,Fabp2_2v2_19,26.52047284563989,73.4795271543601
30517166,Fabp2_2v2_22,60.22610483042139,39.773895169578616
30517166,Fabp2_2v2_17,39.77389516957864,60.22610483042136
30517170,Fabp2_2v2_27,25.899280575539557,74.10071942446045
30517170,Fabp2_2v2_26,47.06184683912969,52.93815316087032
30517170,Fabp2_2v2_29,43.53263662840498,56.46736337159503
30517172,Fabp2_2v2_31,68.23710810347782,31.762891896522177
30517172,Fabp2_2v2_33,50.599520383693054,49.40047961630695
30517172,Fabp2_2v2_35,74.10071942446041,25.899280575539592
30517172,Fabp2_2v2_34,61.18533744433026,38.81466255566974
30517173,Fabp2_2v2_42,17.643028434395333,82.35697156560467
30517173,Fabp2_2v2_41,3.529210210724691,96.47078978927532
30517173,Fabp2_2v2_37,3.529210210724681,96.47078978927532
30517173,Fabp2_2v2_39,10.585817060637206,89.41418293936279
30517176,Fabp2_2v2_43,56.45769099006508,43.54230900993492
30517176,Fabp2_2v2_48,56.45769099006509,43.54230900993492
30517176,Fabp2_2v2_47,59.98629667694415,40.01370332305586
30517176,Fabp2_2v2_45,0.0,100.0
30517180,Fabp2_2v2_55,42.35052252869628,57.64947747130371
30517180,Fabp2_2v2_53,36.485097636176775,63.514902363823225
30517180,Fabp2_2v2_54,68.2425488180884,31.757451181911613
30517182,Fabp2_2v2_61,71.7663183142025,28.233681685797507
30517182,Fabp2_2v2_59,78.82473873565188,21.17526126434812
30517182,Fabp2_2v2_60,50.599520383693054,49.40047961630695
30517182,Fabp2_2v2_62,82.35697156560467,17.643028434395347
30517184,Fabp2_2v2_67,54.12812607057212,45.871873929427885
30517184,Fabp2_2v2_63,82.35394894637656,17.64605105362344
30517184,Fabp2_2v2_66,64.70789789275312,35.29210210724686
30517186,Fabp2_2v2_68,68.24254881808837,31.757451181911627
30517186,Fabp2_2v2_72,85.88315915710125,14.116840842898744
30517186,Fabp2_2v2_71,89.41418293936279,10.585817060637206
30517188,Fabp2_2v2_73,14.116840842898752,85.88315915710125
30517188,Fabp2_2v2_75,42.34326824254881,57.6567317574512
30517188,Fabp2_2v2_76,31.762891896522184,68.23710810347782
