,f manual,f automatic,m manual,m automatic
LVIDs,0.9484191852820345,1.0,1.0,0.8665112665112666
LVIDd,0.7960340952569827,0.662004662004662,0.9077864979090875,0.6943278943278944
ejection fraction,0.9497169497169498,0.4908424908424909,0.6943278943278944,0.6943278943278944
fractional shortening,0.9497169497169498,0.5727605727605728,0.6125874125874127,0.6125874125874127
